source_dataset_id,municipality_code,source_layer,native_zone_code,native_zone_description,generator_class,mapping_rule,mapping_status,evidence,notes,source_feature_count
F3_SRC_FVG_PRGC_CURRENT_001,030001,AielloDelFriuli\MODI_NOV_2022\Zonizzazione_6708.shp,VERDE_ATTR,ZONA_OM=VERDE_ATTR | ART_NTA=21,,EXPLICIT_NON_GENERATOR_SEMANTICS,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,13
F3_SRC_FVG_PRGC_CURRENT_001,030001,AielloDelFriuli\MODI_NOV_2022\Zonizzazione_6708.shp,VERDE_CULTO,ZONA_OM=VERDE_CULTO | ART_NTA=21BIS,,EXPLICIT_NON_GENERATOR_SEMANTICS,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,1
F3_SRC_FVG_PRGC_CURRENT_001,030002,Amaro\Zonizzazione_6708.shp,A,zona_om=A,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,23
F3_SRC_FVG_PRGC_CURRENT_001,030002,Amaro\Zonizzazione_6708.shp,B,zona_om=B,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,34
F3_SRC_FVG_PRGC_CURRENT_001,030002,Amaro\Zonizzazione_6708.shp,C,zona_om=C,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,2
F3_SRC_FVG_PRGC_CURRENT_001,030002,Amaro\Zonizzazione_6708.shp,D,zona_om=D,G1_PRODUCTIVE,FVG_D_FAMILY_ZONE_CODE,RESOLVED_INCLUDED,Official current/best-available PRGC vector; native attributes preserved,,8
F3_SRC_FVG_PRGC_CURRENT_001,030002,Amaro\Zonizzazione_6708.shp,E,zona_om=E,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,88
F3_SRC_FVG_PRGC_CURRENT_001,030002,Amaro\Zonizzazione_6708.shp,G,zona_om=G,,INSUFFICIENT_SEMANTIC_EVIDENCE,GENERATOR_CLASS_UNRESOLVED,Official current/best-available PRGC vector; native attributes preserved,,6
F3_SRC_FVG_PRGC_CURRENT_001,030002,Amaro\Zonizzazione_6708.shp,H,zona_om=H,G2_COMMERCIAL_TERTIARY,FVG_H_FAMILY_ZONE_CODE,RESOLVED_INCLUDED,Official current/best-available PRGC vector; native attributes preserved,,2
F3_SRC_FVG_PRGC_CURRENT_001,030002,Amaro\Zonizzazione_6708.shp,VPR,zona_om=VPR,,INSUFFICIENT_SEMANTIC_EVIDENCE,GENERATOR_CLASS_UNRESOLVED,Official current/best-available PRGC vector; native attributes preserved,,7
